genus,p,mean_H,mean_CRC,direction,q
Porphyromonas,1.3311018953743314e-10,3.777228653606259e-05,0.008212251537852147,CRC,2.4359164685350265e-08
Peptostreptococcus,4.975626577419234e-10,7.466814760998798e-06,0.0002704501008207694,CRC,3.035132212225733e-08
Parvimonas,3.5467495607122146e-10,5.862143435915725e-06,0.0003318633070646046,CRC,3.035132212225733e-08
Fusobacterium,4.5059032949268385e-08,7.317593198947824e-05,0.0029927843041628504,CRC,2.0614507574290286e-06
Alloprevotella,8.950274154706506e-06,0.00034151440166564796,0.0018518174339119356,CRC,0.0003275800340622581
Anaerococcus,1.3470497824963346e-05,1.2311813390243744e-05,8.66628574132984e-05,CRC,0.00041085018366138204
Eikenella,0.000271073945412148,0.0,4.182698978072898e-05,CRC,0.007086647430060441
Peptoniphilus,0.0004165747176119172,3.8774130173714845e-06,9.567286151881301e-05,CRC,0.009529146665372606
Clostridium_XVIII,0.0009817372833673677,0.008155383310349738,0.004099636479189189,H,0.01996199142846981
Collinsella,0.001465856782725261,0.008307642353756771,0.013475948517439683,CRC,0.026825179123872278
Haemophilus,0.0018751694100975769,0.0029042299375033956,0.0005421501098773677,H,0.030811636533649045
Enterobacter,0.0020204351825343636,0.0006262587930023844,0.004745209487915084,CRC,0.030811636533649045
Catenibacterium,0.003162797203810408,0.0004249208699378538,0.0012976261866098104,CRC,0.04134227773552176
Gemella,0.0031593153827029763,3.8688218204553696e-05,0.0003019995344064122,CRC,0.04134227773552176
Gemmiger,0.003990350346635418,0.013032343313287164,0.007995718899803952,H,0.04868227422895211
Howardella,0.00477581766037849,0.00021805614546550615,0.00026702041505936673,CRC,0.05141027246172138
Lachnobacterium,0.004728879119453966,5.795841532596414e-05,1.7853640390499476e-05,H,0.05141027246172138
Anaerostipes,0.005081875501883992,0.037787743538545776,0.0297278168940287,H,0.05166573426915392
Methanobrevibacter,0.006926745908828691,0.007198080304285331,0.0103814742945512,CRC,0.06671550006924476
Lachnoanaerobaculum,0.010014503845716671,4.336699352942886e-07,2.3449706583857334e-05,CRC,0.08726924779838813
Victivallis,0.00970983728481345,6.975885552963237e-06,8.38570129271411e-05,CRC,0.08726924779838813
Aeromonas,0.016092752371810404,0.0,7.182386484156686e-06,CRC,0.13386244018369564
Desulfovibrio,0.01911412321032535,0.0009743966796332945,0.0010329753638420793,CRC,0.15208193684737126
Campylobacter,0.023915539465013902,1.5146566580893684e-05,0.00011847170056576268,CRC,0.182355988420731
Lactobacillus,0.03166274997462848,0.0015267866736070257,0.002462964796671597,CRC,0.20442584307557124
Methanomassiliicoccus,0.03239535218137468,2.38561444497308e-06,6.93521997498592e-05,CRC,0.20442584307557124
Pediococcus,0.03232104565047744,1.944608015349089e-05,6.315076435108994e-05,CRC,0.20442584307557124
Cloacibacillus,0.028221505029004668,0.000779666700846284,0.0015856110401546502,CRC,0.20442584307557124
Bilophila,0.032056648695930834,0.0010657845969298065,0.0017209050044579685,CRC,0.20442584307557124
Helcococcus,0.03745458538261759,0.0,4.493867467631708e-06,CRC,0.2077027007581521
Morganella,0.03745458538261759,0.0,1.5576129387414555e-05,CRC,0.2077027007581521
Peptococcus,0.03461958634408835,0.00019220875928309606,0.0007368531276492551,CRC,0.2077027007581521
Wolinella,0.03745458538261759,0.0,3.51757629240292e-05,CRC,0.2077027007581521
Staphylococcus,0.03962819449611232,2.515154500569959e-05,3.756271755721467e-05,CRC,0.21329292919966336
Oxalobacter,0.04450821688070272,6.812927501240273e-05,7.207262793950348e-05,CRC,0.22596385295835325
Alloscardovia,0.04522304364056806,4.56163941781749e-07,6.170151220347612e-05,CRC,0.22596385295835325
Enterorhabdus,0.04568668065278181,0.0003586439705822402,0.0008261844635083525,CRC,0.22596385295835325
Eubacterium,0.05046004500097201,0.0005174142079399582,0.0008030316318541761,CRC,0.24300495355731255
Ethanoligenens,0.054899016936468925,3.9807086659753965e-05,6.372664008131988e-06,H,0.25760307947112343
Weissella,0.06270539358998595,1.4929032786485905e-05,0.0002536577498716152,CRC,0.2743489194313628
Leptotrichia,0.06296532577113245,3.329385621271034e-06,1.70165929706344e-05,CRC,0.2743489194313628
Gracilibacter,0.06052599880285925,4.6793677135568066e-05,1.9817761887262946e-06,H,0.2743489194313628
Prevotella,0.07025406702606163,0.01885128517952751,0.020516365274434425,CRC,0.2989882387388204
Escherichia/Shigella,0.08673891118416721,0.010129351859023184,0.011746068514842513,CRC,0.33542375320664475
Gardnerella,0.0931196182577545,4.588981218441181e-06,0.0,H,0.33542375320664475
Eggerthella,0.08268488453138745,0.0001982371000645813,0.0003033700393844551,CRC,0.33542375320664475
Guggenheimella,0.0931196182577545,2.570762862532495e-05,0.0,H,0.33542375320664475
Acidaminococcus,0.08344160573803783,0.0021651611004407374,0.0022738861502285953,CRC,0.33542375320664475
Anaeroplasma,0.09466197310167068,0.0001398757502250764,8.675133597057395e-07,H,0.33542375320664475
Pyramidobacter,0.09825652578464683,4.089075972668358e-06,6.574361294317919e-05,CRC,0.33542375320664475
Ralstonia,0.09611283962903672,1.0784379954240198e-06,7.682821216412308e-05,CRC,0.33542375320664475
Coprococcus,0.09897750094622304,0.01327984966008333,0.010236229715720583,H,0.33542375320664475
Abiotrophia,0.0931196182577545,3.822869689462711e-06,0.0,H,0.33542375320664475
Clostridium_XI,0.09255156130744613,0.013008039359199157,0.0120114861968952,H,0.33542375320664475
Clostridium_XII,0.10664067040838598,2.1759188067689368e-05,3.562962056833315e-05,CRC,0.35482259426790247
Streptococcus,0.11281884980586132,0.00841500374070282,0.008830229550905256,CRC,0.3686758841870111
Pseudoflavonifractor,0.12271091633517406,0.0005388890448342619,0.0006421789677165574,CRC,0.3939666261287167
Clostridium_XlVb,0.14763773696411375,0.0019573533422338313,0.0030932658527815177,CRC,0.44291321089234126
Mitsuokella,0.14658423830707012,5.659418322339582e-06,0.0,H,0.44291321089234126
Carnobacterium,0.14658423830707012,3.4207111646166438e-06,0.0,H,0.44291321089234126
Sphingobium,0.14658423830707012,1.2120175294561609e-06,0.0,H,0.44291321089234126
Methylobacterium,0.15074761442652518,5.784015476130075e-05,1.858666188334909e-05,H,0.4449486038718405
Veillonella,0.15536240700903226,0.0019532784119099976,0.003204713435950142,CRC,0.4512908013119508
Clostridium_IV,0.16485527006518352,0.018317332024896892,0.027117720906853122,CRC,0.4595431208143625
Hydrogenoanaerobacterium,0.1657368632445242,4.838706458732301e-05,2.3581291126849668e-05,H,0.4595431208143625
Anaeroglobus,0.1627726006974064,1.404675885086275e-07,1.2074925046875157e-06,CRC,0.4595431208143625
Faecalibacterium,0.16961865712637358,0.05719893234655304,0.050534876371527614,H,0.4632867799123338
Actinomyces,0.17920642758348082,0.00031066442716730933,0.00044317713554369546,CRC,0.4822761212908381
Enterococcus,0.19260422046991965,0.00026303067367640235,0.001249423937761514,CRC,0.49656871215580667
Allisonella,0.19265780635553154,3.0199238358098704e-05,8.288508236082308e-05,CRC,0.49656871215580667
Pasteurella,0.19122096197646155,4.3688816047498345e-07,8.125619050911968e-06,CRC,0.49656871215580667
Megamonas,0.19840466787491962,4.649660934398625e-05,0.0010078188399682152,CRC,0.4988516454758871
Streptophyta,0.19899546513518995,0.00014842830197310945,0.00020953789562821705,CRC,0.4988516454758871
Hallella,0.20486986417003283,6.616191736084262e-06,7.853146960254688e-05,CRC,0.4998824685748801
Hespellia,0.20274468931612488,0.0008329884452099998,0.0008601572060320847,CRC,0.4998824685748801
Salmonella,0.21388497148921548,6.736418435904203e-06,2.9641947896992526e-05,CRC,0.5122547116251212
Bulleidia,0.22393648595633708,1.7924506735965885e-05,1.877564191878342e-05,CRC,0.5122547116251212
Bacteroides,0.21826419241888484,0.15084337399801764,0.1472505763510921,H,0.5122547116251212
Acinetobacter,0.22058583372467044,2.4988608368829294e-05,4.6884060164095875e-06,H,0.5122547116251212
Moryella,0.22134295131890136,2.395213365504623e-06,4.200613866765487e-06,CRC,0.5122547116251212
Solobacterium,0.24328817079224718,7.1065630699916965e-06,1.9514606168547682e-05,CRC,0.5496510525306325
Lachnospiracea_incertae_sedis,0.24690187690533705,0.044533106560185165,0.0356428691967996,H,0.55101272528874
Clostridium_XlVa,0.26638676858372135,0.018871960789985234,0.021849862503633903,CRC,0.5735150429508353
Olsenella,0.26064185123439065,3.0071169044937926e-05,4.1775957315567705e-05,CRC,0.5735150429508353
Anaerotruncus,0.26362870030634356,0.000172187339725623,0.0001796041440356386,CRC,0.5735150429508353
Sporobacter,0.28832070493096706,0.0035373639830856324,0.003353177844717269,H,0.6135196395624066
Acetanaerobacterium,0.36651826770477935,0.00015358460620367375,0.0003082556124371416,CRC,0.6622853466986441
Verrucomicrobium,0.36211267089027377,1.7187824420185932e-07,1.6062169707068246e-05,CRC,0.6622853466986441
Acidobacterium,0.36637635774206,1.2900784367689554e-06,1.2888755114876785e-05,CRC,0.6622853466986441
Sphingobacterium,0.36211267089027377,2.7704622183755895e-07,9.520243776574392e-06,CRC,0.6622853466986441
Rothia,0.3424513040794843,5.194535746607121e-05,5.0500061322979214e-05,H,0.6622853466986441
Roseburia,0.37483795937723574,0.042945895232205905,0.04199674270747747,H,0.6622853466986441
Rhodobacter,0.36637635774206,2.0900720740454015e-07,8.514552159787976e-07,CRC,0.6622853466986441
Slackia,0.3556202185356885,0.0002791656563697824,0.0003319693967324012,CRC,0.6622853466986441
Sphingomonas,0.36637635774206,8.600522911793037e-07,2.0175260506890777e-05,CRC,0.6622853466986441
Vampirovibrio,0.32611047893935696,0.00022177443544968268,0.0007908919007912423,CRC,0.6622853466986441
Ruminococcus2,0.3836188346997611,0.022948848439538566,0.02551201342905142,CRC,0.6622853466986441
Barnesiella,0.3190727692533013,0.008143678773520475,0.0063601930753763155,H,0.6622853466986441
Cupriavidus,0.36211267089027377,8.600522911793037e-07,1.1204499445725588e-05,CRC,0.6622853466986441
Dorea,0.382466493351016,0.01796376802306643,0.01842905716338557,CRC,0.6622853466986441
Chryseobacterium,0.36211267089027377,4.3289181254399263e-07,2.3525344714479035e-06,CRC,0.6622853466986441
Cerasicoccus,0.3564596307456953,2.796280499294405e-06,0.00010295473110938854,CRC,0.6622853466986441
Cellulosilyticum,0.36211267089027377,7.288395998962131e-07,0.00013604801455662343,CRC,0.6622853466986441
Cardiobacterium,0.383566220886846,1.347769485775839e-06,3.5389722959279643e-06,CRC,0.6622853466986441
Flavonifractor,0.3767058712239699,0.001707147442047174,0.0016183977386652366,H,0.6622853466986441
Butyricicoccus,0.3684887418911451,0.0019749052096206528,0.0017938013112881823,H,0.6622853466986441
Listeria,0.3974023699685396,7.286069676141984e-06,1.2964358960510153e-06,H,0.6796694738714276
Corynebacterium,0.4035155341023997,3.560759459636489e-05,2.695697788552715e-05,H,0.6833534786035714
Lactonifactor,0.4107589215649883,0.00019007819672157113,0.0001922858507609222,CRC,0.6833534786035714
Granulicatella,0.40876149245189763,9.399732392213152e-05,6.267656563372968e-05,H,0.6833534786035714
Anaerofilum,0.42989410987238363,6.273275150293645e-05,8.911762610555298e-05,CRC,0.6962203398219268
Succiniclasticum,0.42990654863321165,8.950707767539836e-05,0.000392079709563859,CRC,0.6962203398219268
Odoribacter,0.42641872923995283,0.0017014147092354948,0.0031565296112522736,CRC,0.6962203398219268
Gordonibacter,0.4342688159961152,0.00019147582667856364,0.00014827460832379303,H,0.6971157309411323
Pseudomonas,0.4611152082053942,0.001664476297913732,0.0005870833491298982,H,0.7274732377021057
Acetitomaculum,0.461130576904067,0.0001784801553878723,7.251776586926485e-05,H,0.7274732377021057
Robinsoniella,0.471993561730752,1.860533742125483e-05,2.140503473474536e-05,CRC,0.7367524098537265
Dialister,0.4750643954248073,0.004307518251808285,0.0024046825610354013,H,0.7367524098537265
Parasutterella,0.4862918588332086,0.0018398570431313683,0.001666021062991526,H,0.7478269761888838
Anaerovorax,0.4951387124098099,2.1527563309259738e-05,1.8055160021136064e-05,H,0.7510954103625958
Mogibacterium,0.49662592707035014,0.00032883789459379884,0.0004638272200803205,CRC,0.7510954103625958
Proteus,0.5129989093205571,1.4807634909602768e-05,8.740147470124588e-06,H,0.7632422797208289
Acidaminobacter,0.5129989093205571,1.1830451961617793e-06,5.739605574304935e-07,H,0.7632422797208289
Butyricimonas,0.5252021394568118,0.0006991152537598252,0.0006518965458649925,H,0.7750967058112627
Neisseria,0.5322591788605036,2.7038406728352886e-05,5.221173742672156e-05,CRC,0.7792274378517773
Anaerorhabdus,0.5493030141431401,1.094204388455831e-05,2.535158350877475e-05,CRC,0.7977972348269415
Deinococcus,0.566377652523157,2.4932207174762552e-05,2.942526668736292e-06,H,0.8034659721840134
Ruminococcus,0.5645190842812242,0.03215676984897734,0.033588579110173586,CRC,0.8034659721840134
Anaerophaga,0.5656087579743712,3.385579635917185e-05,9.298243354663533e-05,CRC,0.8034659721840134
Turicibacter,0.5710800753515319,0.0030552615862672883,0.0018105536166710984,H,0.803905029148695
Citrobacter,0.5816450967041773,0.0010666080504988338,1.8485861796562183e-05,H,0.8125271198233927
Succinivibrio,0.591224733731635,0.0006396731352340382,0.0007653859664825304,CRC,0.8196524717643121
Lactococcus,0.6140862577130943,0.0002880045327749436,0.00037769033431191905,CRC,0.8386401877723602
Oxobacter,0.611372159422181,2.557273447339206e-05,1.0450576676933011e-05,H,0.8386401877723602
Oribacterium,0.6343983051205215,5.823384077374607e-05,2.122500323332166e-05,H,0.8599621469411514
Pantoea,0.6485900488695746,7.865880132478447e-05,4.527833130405754e-06,H,0.8679229650582408
Actinobacillus,0.6497565366829454,2.7207792527493636e-05,9.83719337144921e-05,CRC,0.8679229650582408
Papillibacter,0.6714442467625337,2.0156544595550613e-05,1.4998535754558874e-05,H,0.8756310886636818
